Start_Date,Actual_RPM,Avg_from_Actual_1.25,Avg_from_Prv_1.25,Avg_from_Actual_1.5,Avg_from_Prv_1.5
31-May,570.9,532.64,0,534.35,0
1-Jun,619.6,616.34,478.36,606.5,478.36
2-Jun,619.8,575.06,575.28,575.28,540.21
3-Jun,604.05,564.51,531.86,562.42,531.86
4-Jun,617.1,580.46,550.91,597.55,550.91
5-Jun,640.8,590.39,533.64,591.43,547.14
7-Jun,724.5,708.94,546.15,708.94,546.15
9-Jun,849.7,746.89,711.4,752.06,711.4
10-Jun,1399.1,1288.67,731.15,1274.59,731.15
11-Jun,1538.9,1565.14,1248.46,1539.39,1248.46
22-Jun,520.3,506.06,1580.01,486.69,1571.66
23-Jun,520.3,503.33,470.18,488.82,456.35
24-Jun,610.7,565.96,487.9,564.53,475.68
25-Jun,501.1,467.7,535.06,470.4,535.06
27-Jun,608.2,562.2,425.99,550.27,450.41
28-Jun,608.2,564.59,525.59,566.09,513.03
29-Jun,608.2,566.25,529.02,560.64,529.02
30-Jun,608.2,585.67,533.74,585.67,533.74
1-Jul,608.2,564.09,530.97,563.04,530.97
2-Jul,608.2,564.45,551.48,562.42,551.48
3-Jul,608.2,561.41,514.56,563.51,514.56
4-Jul,608.2,538.34,512.82,557.75,512.82
5-Jul,608.2,539.61,480.76,561.04,498.12
7-Jul,716.7,676.93,503.5,697.3,547.52
8-Jul,716.7,671.93,637.2,674.58,637.2
9-Jul,715.4,680.86,618.61,692.63,648.53
10-Jul,716.7,676.85,658.43,672.47,658.43
12-Jul,716.7,675.99,660.38,689.98,643.06
